0,1,2
-14.9793,-14.4754,1.0
-14.7793,-14.4754,1.0
-14.5793,-14.4754,1.0
-14.3793,-14.4754,1.0
-14.1793,-14.4754,1.0
-13.9793,-14.4754,1.0
-13.7793,-14.4754,1.0
-13.5793,-14.4754,1.0
-13.3793,-14.4754,1.0
-13.1793,-14.4754,1.0
-12.9793,-14.4754,1.0
-12.7793,-14.4754,1.0
-12.5793,-14.4754,1.0
-12.3793,-14.4754,1.0
-12.1793,-14.4754,1.0
-11.9793,-14.4754,1.0
-11.7793,-14.4754,1.0
-11.5793,-14.4754,1.0
-11.3793,-14.4754,1.0
-11.1793,-14.4754,1.0
-10.9793,-14.4754,1.0
-10.7793,-14.4754,1.0
-10.5793,-14.4754,1.0
-10.3793,-14.4754,1.0
-10.1793,-14.4754,1.0
-9.97933,-14.4754,1.0
-9.77933,-14.4754,1.0
-9.57933,-14.4754,1.0
-9.37933,-14.4754,1.0
-9.17933,-14.4754,1.0
-8.97933,-14.4754,1.0
-8.77933,-14.4754,1.0
-8.57933,-14.4754,1.0
-8.37933,-14.4754,1.0
-8.17933,-14.4754,1.0
-7.97933,-14.4754,1.0
-7.77933,-14.4754,1.0
-7.57933,-14.4754,1.0
-7.37933,-14.4754,1.0
-7.17933,-14.4754,1.0
-6.97933,-14.4754,1.0
-6.77933,-14.4754,1.0
-6.57933,-14.4754,1.0
-6.37933,-14.4754,1.0
-6.17933,-14.4754,1.0
-5.97933,-14.4754,1.0
-5.77933,-14.4754,1.0
-5.57933,-14.4754,1.0
-5.37933,-14.4754,1.0
-5.17933,-14.4754,1.0
-4.97933,-14.4754,1.0
-4.77933,-14.4754,1.0
-4.57933,-14.4754,1.0
-4.37933,-14.4754,1.0
-4.17933,-14.4754,1.0
-3.97933,-14.4754,1.0
-3.77933,-14.4754,1.0
-3.57933,-14.4754,1.0
-3.37933,-14.4754,1.0
-3.17933,-14.4754,1.0
-2.97933,-14.4754,1.0
-2.77933,-14.4754,1.0
-2.57933,-14.4754,1.0
-2.37933,-14.4754,1.0
-2.17933,-14.4754,1.0
-1.97933,-14.4754,1.0
-1.77933,-14.4754,1.0
-1.57933,-14.4754,1.0
-1.37933,-14.4754,1.0
-1.17933,-14.4754,1.0
-0.979333,-14.4754,1.0
-0.779333,-14.4754,1.0
